Medium,Messtag,Wuchshöhe,Matrikelnummer
Salty,13,0.0,2139315
Salty,13,0.0,2139315
Salty,13,0.0,2139315
Salty,13,0.0,2139315
Salty,13,0.0,2139315
Salty,13,0.0,2139315
Salty,13,1.0,2139315
Salty,13,2.0,2139315
Salty,13,3.0,2139315
Salty,13,3.0,2139315
Salty,13,3.0,2139315
Salty,13,3.0,2139315
Salty,13,4.0,2139315
Salty,13,5.0,2139315
Salty,13,7.0,2139315
Salty,13,8.0,2139315
Salty,13,9.0,2139315
Salty,13,13.0,2139315
Salty,13,17.0,2139315
Salty,13,27.0,2139315
Salty,14,0.0,2139315
Salty,14,0.0,2139315
Salty,14,0.0,2139315
Salty,14,0.0,2139315
Salty,14,1.0,2139315
Salty,14,1.0,2139315
Salty,14,2.0,2139315
Salty,14,2.0,2139315
Salty,14,3.0,2139315
Salty,14,3.0,2139315
Salty,14,3.0,2139315
Salty,14,3.0,2139315
Salty,14,4.0,2139315
Salty,14,5.0,2139315
Salty,14,8.0,2139315
Salty,14,9.0,2139315
Salty,14,9.0,2139315
Salty,14,13.0,2139315
Salty,14,17.0,2139315
Salty,14,27.0,2139315
